FKcontinent_id,country_name,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index
Asia,Singapore,5896684,7915.731,42.4,12.922,7.049,85535.383,92.243,10.99,2.4,83.62,0.938
North America,Sint Maarten (Dutch part),43421,1209.088,,,,36327.232,,,,78.95,
Europe,Slovakia,5460726,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,5.82,77.54,0.86
Europe,Slovenia,2078723,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,4.5,81.32,0.917
Oceania,Solomon Islands,703995,21.841,20.8,3.507,2.043,2205.923,459.78,18.68,1.4,73.0,0.567
Africa,Somalia,16359500,23.5,16.8,2.731,1.496,,365.769,6.05,0.9,57.4,
Africa,South Africa,60041996,46.754,27.3,5.344,3.053,12294.876,200.38,5.52,2.32,64.13,0.709
Asia,South Korea,51305184,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,12.27,83.03,0.916
Africa,South Sudan,11381377,,19.2,3.441,2.032,1569.888,280.775,10.43,,57.85,0.433
Europe,Spain,46745211,93.105,45.5,19.436,13.799,34272.36,99.403,7.17,2.97,83.56,0.904
Asia,Sri Lanka,21497306,341.955,34.1,10.069,5.331,11669.077,197.093,10.68,3.6,76.98,0.782
Africa,Sudan,44909351,23.258,19.7,3.548,2.034,4466.507,431.388,15.67,0.8,65.31,0.51
South America,Suriname,591798,3.612,29.6,6.933,4.229,13767.119,258.314,12.54,3.1,71.68,0.738
Europe,Sweden,10160159,24.718,41.0,19.985,13.433,46949.283,133.982,4.79,2.22,82.8,0.945
Europe,Switzerland,8715494,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,4.53,83.78,0.955
Asia,Syria,18275704,,21.7,,2.577,,376.264,,1.5,72.7,0.567
Asia,Taiwan,23855008,,42.2,,8.353,,103.957,,,80.46,
Asia,Tajikistan,9749625,64.281,23.3,3.466,2.155,2896.913,427.698,7.11,4.8,71.1,0.668
Africa,Tanzania,61498438,64.699,17.7,3.108,1.874,2683.304,217.288,5.75,0.7,65.46,0.529
Asia,Thailand,69950844,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,2.1,77.15,0.777
Asia,Timor,1343875,87.176,18.0,3.556,1.897,6570.102,335.346,6.86,5.9,69.5,0.606
Africa,Togo,8478242,143.366,19.4,2.839,1.525,1429.813,280.033,6.15,0.7,61.04,0.515
Oceania,Tokelau,1368,,,,,,,,,81.86,
Oceania,Tonga,106759,150.028,22.3,5.82,4.032,5425.621,227.49,15.42,2.6,70.91,0.725
North America,Trinidad and Tobago,1403374,266.886,36.2,10.014,5.819,28763.071,228.467,10.97,3.0,73.51,0.796
Africa,Tunisia,11935764,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,2.3,76.7,0.74
Asia,Turkey,85042736,104.914,31.6,8.153,5.061,25129.341,171.285,12.13,2.81,77.69,0.82
Asia,Turkmenistan,6117933,12.253,26.9,4.277,2.541,16389.023,536.783,7.11,7.4,68.19,0.715
North America,Turks and Caicos Islands,39226,37.312,,,,,,,,80.22,
Oceania,Tuvalu,11925,373.067,,,,3575.104,,27.25,,67.57,
Africa,Uganda,47123533,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,0.5,63.37,0.544
Europe,Ukraine,43466822,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,8.8,72.06,0.779
Asia,United Arab Emirates,9991083,112.442,34.0,1.144,0.526,67293.483,317.84,17.26,1.2,77.97,0.89
Europe,United Kingdom,68207114,272.898,40.8,18.517,12.527,39753.244,122.137,4.28,2.54,81.32,0.932
North America,United States,332915074,35.608,38.3,15.413,9.732,54225.446,151.089,10.79,2.77,78.86,0.926
South America,Uruguay,3485152,19.751,35.6,14.655,10.361,20551.409,160.708,6.93,2.8,77.91,0.817
Asia,Uzbekistan,33935765,76.134,28.2,4.469,2.873,6253.104,724.417,7.57,4.0,71.72,0.72
Oceania,Vanuatu,314464,22.662,23.1,4.394,2.62,2921.909,546.3,12.02,,70.47,0.609
Europe,Vatican,812,,,,,,,,,75.12,
South America,Venezuela,28704947,36.253,29.0,6.614,3.915,16745.022,204.85,6.47,0.8,72.06,0.711
Asia,Vietnam,98168829,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,2.6,75.4,0.704
Oceania,Wallis and Futuna,11094,,,,,,,,,79.94,
Asia,Yemen,30490639,53.508,20.3,2.922,1.583,1479.147,495.003,5.35,0.7,66.12,0.47
Africa,Zambia,18920657,22.995,17.7,2.48,1.542,3689.251,234.499,3.94,2.0,63.89,0.584
Africa,Zimbabwe,15092171,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.7,61.49,0.571
